 ÑŞã_ÇáÍÑİ;ÑŞã ÇáÍÑİ ãä ÈÏÇíÉ ÇáŞÑÂä;Alphabetic Character Number from the Beginning of the Quran
 ÑŞã_ÇáßáãÉ;ÑŞã ÇáßáãÉ ãä ÈÏÇíÉ ÇáŞÑÂä;Word Number from the Beginning of the Quran
 ÑŞã_ÇáÓæÑÉ;ÑŞã ÇáÓæÑÉ ãä ÈÏÇíÉ ÇáŞÑÂä;Surah Number from the Beginning of the Quran
 ÇáÍÑİ;ÇáÍÑİ ÇáÃÈÌÏí;Alphabetic Character
 ÑŞã_ÇáÍÑİ_ãä_ÈÏÇíÉ_ÇáŞÑÂä_ÇáÃæá;ÑŞã ÇáÍÑİ ãä ÈÏÇíÉ ÇáŞÑÂä ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the Beginning of the Quran in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_äåÇíÉ_ÇáŞÑÂä_ÇáÃæá;ÑŞã ÇáÍÑİ ãä äåÇíÉ ÇáŞÑÂä ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the End of the Quran in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_ÈÏÇíÉ_ÇáÓæÑÉ_ÇáÃæá;ÑŞã ÇáÍÑİ ãä ÈÏÇíÉ ÇáÓæÑÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the Beginning of the Surah in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_äåÇíÉ_ÇáÓæÑÉ_ÇáÃæá;ÑŞã ÇáÍÑİ ãä äåÇíÉ ÇáÓæÑÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the End of the Surah in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_ÈÏÇíÉ_ÇáÂíÉ_ÇáÃæá;ÑŞã ÇáÍÑİ ãä ÈÏÇíÉ ÇáÂíÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the Beginning of the Verse (Aya) in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_äåÇíÉ_ÇáÂíÉ_ÇáÃæá;ÑŞã ÇáÍÑİ ãä äåÇíÉ ÇáÂíÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the End of the Verse (Aya) in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_ÈÏÇíÉ_ÇáßáãÉ_ÇáÃæá;ÑŞã ÇáÍÑİ ãä ÈÏÇíÉ ÇáßáãÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the Beginning of the Word in the Original First Script without Hamza
 ÑŞã_ÇáÍÑİ_ãä_äåÇíÉ_ÇáßáãÉ_ÇáÃæá;ÑŞã ÇáÍÑİ ãä äåÇíÉ ÇáßáãÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Alphabetic Character Number from the End of the Word in the Original First Script without Hamza
 ÚÏÏ_ÃÍÑİ_ÇáßáãÉ_ÇáÃæá;ÚÏÏ ÍÑæİ ÇáßáãÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Number of Letters in the Word in the Original First Script without Hamza
 ÚÏÏ_ÃÍÑİ_ÇáÂíÉ_ÇáÃæá;ÚÏÏ ÍÑæİ ÇáÂíÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Number of Letters in the Verse (Aya)  in the Original First Script without Hamza
 ÚÏÏ_ÃÍÑİ_ÇáÓæÑÉ_ÇáÃæá;ÚÏÏ ÍÑæİ ÇáÓæÑÉ ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Number of Letters in the Surah in the Original First Script without Hamza
 ÚÏÏ_ÃÍÑİ_ÇáŞÑÂä_ÇáÃæá;ÚÏÏ ÍÑæİ ÇáŞÑÂä ÈÇáÑÓã ÇáÃæá ÇáÃÕáí ÈÏæä ÇáåãÒÉ;Number of Letters in the Quran in the Original First Script without Hamza
 ÊßÑÇÑ_ÇáÍÑİ_ÈÇáßáãÉ;ÊßÑÇÑ ÇáÍÑİ ÈÇáßáãÉ;Character Occurences in the Word
 ÊßÑÇÑ_ÇáÍÑİ_ÈÇáÂíÉ;ÊßÑÇÑ ÇáÍÑİ ÈÇáÂíÉ;Character Occurences in the Verse
 ÊßÑÇÑ_ÇáÍÑİ_ÈÇáÓæÑÉ;ÊßÑÇÑ ÇáÍÑİ ÈÇáÓæÑÉ;Character Occurences in the Surah
 ÊßÑÇÑ_ÇáÍÑİ_ÈÇáŞÑÂä;ÊßÑÇÑ ÇáÍÑİ ÈÇáŞÑÂä;Character Occurences in the Quran
